V2,K7NCM,W7W/CH-227,29/10/21,1827,7MHz,SSB,WB6POT,,CA
V2,K7NCM,W7W/CH-227,29/10/21,1829,7MHz,SSB,K6EL,W6/NC-423,
V2,K7NCM,W7W/CH-227,29/10/21,1830,7MHz,SSB,N0WAE,,MT
V2,K7NCM,W7W/CH-227,29/10/21,1832,7MHz,SSB,KF7DPT,,MT
V2,K7NCM,W7W/CH-227,29/10/21,1858,7MHz,CW,N7SM,,WA
V2,K7NCM,W7W/CH-227,29/10/21,1900,7MHz,CW,KJ7RPL,,OR
V2,K7NCM,W7W/CH-227,29/10/21,1904,7MHz,CW,W7GA,,UT
V2,K7NCM,W7W/CH-227,29/10/21,1911,7MHz,CW,W6TDX,,OR
V2,K7NCM,W7W/CH-227,29/10/21,1913,7MHz,CW,WC7C,,WA
V2,K7NCM,W7W/CH-227,29/10/21,1915,7MHz,CW,KJ7VAB,,
V2,K7NCM,W7W/CH-227,29/10/21,1937,14MHz,SSB,KQ6QB,,CA
V2,K7NCM,W7W/CH-227,29/10/21,1942,14MHz,SSB,KG0E,,MN
V2,K7NCM,W7W/CH-227,29/10/21,2003,14MHz,CW,N6AN,W6/CT-030,CA
V2,K7NCM,W7W/CH-227,29/10/21,2013,14MHz,SSB,WA7JTM,,AZ
V2,K7NCM,W7W/CH-227,29/10/21,2014,14MHz,SSB,VE5XU,,
V2,K7NCM,W7W/CH-227,29/10/21,2018,14MHz,SSB,KL7HM,,AZ
V2,K7NCM,W7W/CH-227,29/10/21,2018,14MHz,SSB,W5ODS,,OK
V2,K7NCM,W7W/CH-227,29/10/21,2019,14MHz,SSB,AL7KC,,AK
V2,K7NCM,W7W/CH-227,29/10/21,2020,14MHz,SSB,KX6I,W6/SD-025,
V2,K7NCM,W7W/CH-227,29/10/21,2022,14MHz,SSB,VE3ZN,,Ottawa
V2,K7NCM,W7W/CH-227,29/10/21,2024,14MHz,SSB,AA7DK,,AZ
V2,K7NCM,W7W/CH-227,29/10/21,2026,14MHz,SSB,K6LDQ,,CA
V2,K7NCM,W7W/CH-227,29/10/21,2026,14MHz,SSB,W0MNA,,KS
